Location,Latitude,Longitude
"Rawang, Kuala Lumpur",3.3189044,101.57501872488436
"Solaris Dutamas, Kuala Lumpur",3.171081,101.66590643964932
"duta Nusantara, Kuala Lumpur",3.1677094500000003,101.6654286866124
"Bandar Sri damansara, Kuala Lumpur",3.1934939,101.6127619
"Casa Rimba, Kuala Lumpur",3.2197283,101.73710823165295
"kepong, Kuala Lumpur",3.2140294,101.634842
"Taman Sri Keramat, Kuala Lumpur",3.1746844000000003,101.7492710393256
"Canary Residence, Kuala Lumpur",3.08972015,101.74991436879247
"Taming Jaya, Kuala Lumpur",3.0245431,101.7414556200341
"Kuala Lumpur, Kuala Lumpur",3.1516964,101.6942371
